ga_session_id,session_duration_sec,product_views,add_to_cart,add_payment,total_engagement_ms,country,session_number,purchased,device_type_mobile,device_type_tablet,region_Asia,region_Europe,region_Latin America,region_Middle East,region_North America,region_Oceania,region_Other,cluster
803991321,186.36,3,0,0,66113.0,Latvia,1,0,True,False,False,False,False,False,False,False,True,2
804037201,14.071232,0,0,0,9496.0,Tunisia,1,0,False,False,False,False,False,False,False,False,True,0
805062792,135.711736,1,0,0,61627.0,United States,1,0,True,False,False,False,False,False,True,False,False,2
805955981,6.097978,1,0,0,759.0,India,2,0,False,False,True,False,False,False,False,False,False,0
805992665,5.541023,0,0,0,0.0,United States,2,0,False,False,False,False,False,False,True,False,False,0
806150428,51.448205,0,0,0,5828.0,Romania,4,0,False,False,False,False,False,False,False,False,True,0
806347763,27.416206,0,0,0,21663.0,Taiwan,8,0,True,False,True,False,False,False,False,False,False,0
806553418,186.36,0,0,0,55604.0,Japan,1,0,True,False,True,False,False,False,False,False,False,2
806658278,1.403173,0,0,0,18282.0,China,2,0,True,False,True,False,False,False,False,False,False,0
807986689,7.192958,0,0,0,7467.0,India,1,0,False,False,True,False,False,False,False,False,False,0
808029505,11.602975,0,0,0,1925.0,United States,1,0,True,False,False,False,False,False,True,False,False,0
808810219,17.719905,0,0,0,17687.0,Colombia,1,0,True,False,False,False,True,False,False,False,False,0
808902592,5.531477,0,0,0,5531.0,Russia,1,0,True,False,False,False,False,False,False,False,True,0
808988604,4.085225,0,0,0,4045.0,India,2,0,False,False,True,False,False,False,False,False,False,0
809253913,0.0,0,0,0,0.0,Singapore,1,0,False,False,True,False,False,False,False,False,False,0
809536986,5.119243,0,0,0,30.0,United States,1,0,True,False,False,False,False,False,True,False,False,0
809639776,0.0,0,0,0,0.0,United States,1,0,True,False,False,False,False,False,True,False,False,0
809741236,4.973409,0,0,0,13.0,India,1,0,False,False,True,False,False,False,False,False,False,0
810018247,59.794688,0,0,0,29441.0,Argentina,1,0,True,False,False,False,True,False,False,False,False,0
810158718,2.917332,0,0,0,2898.0,India,1,0,True,False,True,False,False,False,False,False,False,0
811036031,5.229025,0,0,0,33.0,United States,1,0,True,False,False,False,False,False,True,False,False,0
811102304,4.866487,0,0,0,2.0,India,1,0,False,False,True,False,False,False,False,False,False,0
811441022,4.534061,0,0,0,4518.0,United States,1,0,False,False,False,False,False,False,True,False,False,0
811555649,186.36,0,0,0,23433.0,United States,1,0,True,False,False,False,False,False,True,False,False,2
811595010,186.36,11,0,0,66113.0,India,2,0,False,False,True,False,False,False,False,False,False,2
811646764,4.248138,0,0,0,4238.0,Canada,1,0,False,False,False,False,False,False,True,False,False,0
812669017,186.36,4,0,0,66113.0,United States,1,0,False,False,False,False,False,False,True,False,False,2
812895137,13.189683,0,0,0,13070.0,India,1,0,True,False,True,False,False,False,False,False,False,0
813048511,186.36,0,0,0,66113.0,United States,3,0,False,False,False,False,False,False,True,False,False,2
813278799,0.0,0,0,0,0.0,United Kingdom,4,0,True,False,False,True,False,False,False,False,False,0
813712855,15.622894,0,0,0,9844.0,United States,1,0,True,False,False,False,False,False,True,False,False,0
813734724,0.0,0,0,0,0.0,United States,2,0,False,False,False,False,False,False,True,False,False,0
813761385,6.547877,0,0,0,4041.0,United States,1,0,True,False,False,False,False,False,True,False,False,0
813782762,10.509811,0,0,0,10606.0,United States,1,0,True,False,False,False,False,False,True,False,False,0
814249661,4.925305,0,0,0,5.0,United States,1,0,True,False,False,False,False,False,True,False,False,0
814270027,49.420932,0,0,0,48425.0,Bangladesh,1,0,False,False,True,False,False,False,False,False,False,2
814489928,2.660564,0,0,0,2635.0,Sweden,1,0,False,False,False,True,False,False,False,False,False,0
814592806,22.225829,0,0,0,11068.0,United States,1,0,True,False,False,False,False,False,True,False,False,0
814635169,17.833159,0,0,0,17801.0,United States,1,0,False,False,False,False,False,False,True,False,False,0
814669997,0.491356,0,0,0,5.0,United States,1,0,False,False,False,False,False,False,True,False,False,0
814680092,4.934444,0,0,0,2.0,India,1,0,False,False,True,False,False,False,False,False,False,0
815022225,186.36,3,0,0,66113.0,Canada,9,0,False,False,False,False,False,False,True,False,False,2
815802643,5.049832,0,0,0,28.0,Poland,1,0,True,False,False,True,False,False,False,False,False,0
817035356,3.693517,0,0,0,3478.0,Portugal,1,0,True,False,False,True,False,False,False,False,False,0
817227343,0.0,0,0,0,0.0,India,1,0,False,False,True,False,False,False,False,False,False,0
817495979,186.36,9,5,0,66113.0,South Korea,1,0,True,False,True,False,False,False,False,False,False,2
817531500,0.0,0,0,0,0.0,India,2,0,True,False,True,False,False,False,False,False,False,0
817663555,42.368773,1,0,0,41291.0,United States,1,0,True,False,False,False,False,False,True,False,False,0
818650824,72.48986,0,0,0,3583.0,Russia,1,0,True,False,False,False,False,False,False,False,True,0
819694369,186.36,0,0,0,66113.0,India,4,0,True,False,True,False,False,False,False,False,False,2
819719918,3.074615,0,0,0,3052.0,Singapore,1,0,False,False,True,False,False,False,False,False,False,0
819913378,6.359479,0,0,0,6342.0,United States,1,0,False,False,False,False,False,False,True,False,False,0
820022739,3.638933,0,0,0,3611.0,France,1,0,False,False,False,True,False,False,False,False,False,0
820495634,3.694006,1,0,0,3658.0,Japan,1,0,True,False,True,False,False,False,False,False,False,0
821541492,5.643844,0,0,0,5867.0,Greece,1,0,False,False,False,False,False,False,False,False,True,0
821723703,32.020209,0,0,0,67.0,United States,1,0,False,False,False,False,False,False,True,False,False,0
822854881,180.310268,0,0,0,24690.0,Germany,8,0,False,False,False,True,False,False,False,False,False,2
823284144,186.36,1,0,0,14790.0,India,1,0,False,False,True,False,False,False,False,False,False,2
823366594,5.051713,0,0,0,351.0,South Korea,1,0,False,False,True,False,False,False,False,False,False,0
823409644,26.750144,0,0,0,24656.0,United States,1,0,True,False,False,False,False,False,True,False,False,0
823482800,42.659748,0,0,0,6814.0,Malaysia,1,0,False,False,True,False,False,False,False,False,False,0
824030190,9.467493,0,0,0,5008.0,India,1,0,False,False,True,False,False,False,False,False,False,0
824276451,5.045406,0,0,0,21.0,United States,1,0,False,False,False,False,False,False,True,False,False,0
824280173,16.791829,0,0,0,16800.0,Sweden,1,0,True,False,False,True,False,False,False,False,False,0
824828196,186.36,15,5,0,66113.0,United States,1,0,True,False,False,False,False,False,True,False,False,2
824878869,4.983632,0,0,0,17.0,United Kingdom,1,0,False,False,False,True,False,False,False,False,False,0
825450132,2.041208,0,0,0,2204.0,Pakistan,1,0,False,False,True,False,False,False,False,False,False,0
825474050,5.010619,0,0,0,5069.0,United States,1,0,False,False,False,False,False,False,True,False,False,0
